County,Links
Albany County,https://www.albanycountyny.gov/; https://www.albanyny.gov/FAQ.aspx?QID=126; https://www.albanynyrecycles.com/rescom-recycling
Allegany County,https://www.alleganyco.gov/; https://www.alleganyco.gov/departments/public-works/solid-waste-department
Bronx County,https://bronxboropres.nyc.gov/; https://www.nyc.gov/site/dsny/collection/residents/recycling.page
Broome County,https://broomecountyny.gov/; https://broomecountyny.gov/solidwaste; https://broomecountyny.gov/solidwaste/recycling
Cattaraugus County,https://www.cattco.gov/; https://www.cattco.gov/glassrecycling; https://www.cattco.gov/tirerecycling; https://www.cattco.gov/cardboardrecycling; https://www.cattco.gov/2025refusechanges
Cayuga County,https://www.cayugacounty.us/; https://www.cayugacounty.us/699/Solid-Waste-Management-and-Recycling
Chautauqua County,https://chautauquacountyny.gov/; https://chautauquacountyny.gov/landfill/landfill; https://chautauquacountyny.gov/landfill/unacceptable-items; https://chautauquacountyny.gov/landfill/recycling
Chemung County,https://www.chemungcountyny.gov/; https://www.chemungcountyny.gov/363/Solid-Waste-Management; https://www.chemungcountyny.gov/640/Recycling-in-Chemung-County; https://www.chemungcountyny.gov/641/Single-Stream-Recycling
Chenango County,https://www.chenangocountyny.gov; https://www.chenangocountyny.gov/219/Waste-Management; https://www.chenangocountyny.gov/334/Household-Hazardous-Waste; https://www.chenangocountyny.gov/221/Solid-Waste-Facilities
Clinton County,https://www.clintoncountyny.gov/; https://www.clintoncountyny.gov/index.php/landfill
Columbia County,https://www.columbiacountyny.com/; https://solidwaste.columbiacountyny.com
Cortland County,https://www.cortlandcountyny.gov/; https://www.cortlandcountyny.gov/280/Solid-Waste; https://www.cortlandcountyny.gov/278/Recycling
Delaware County,https://www.delcony.us/; https://www.delcony.us/departments/sw/sw.htm; https://www.delcony.us/departments/sw/recycling.htm
Dutchess County,https://www.co.dutchess.ny.us/; https://www.dutchessny.gov/Departments/Solid-Waste-Management/Solid-Waste-Management.htm; https://www.dutchessny.gov/Departments/Solid-Waste-Management/Recycling-Solid-Waste-Management.htm
Erie County,https://www4.erie.gov/; https://www3.erie.gov/recycling
Essex County,https://essexcountyny.gov/; https://essexcountyny.gov/community-resources
Franklin County,https://www.franklincountyny.gov/; https://www.franklincountyny.gov/departments/public_safety/soil_and_water/index.php
Fulton County,https://www.fultoncountyny.gov/; https://www.fultoncountyny.gov/department-solid-waste; https://www.fultoncountyny.gov/recycling
Genesee County,https://www.geneseeny.gov/; https://www.geneseeny.gov/Department-Content/GLOW-Region-Solid-Waste
Greene County,https://greenecountyny.gov/; https://greenecountyny.gov/departments/waste-transfer-stations; https://greenecountyny.gov/departments/waste-transfer-stations/accepted-waste
Hamilton County,https://www.hamiltoncountyny.gov/; https://www.hamiltoncountyny.gov/public-works; https://www.hamiltoncountyny.gov/sites/default/files/HCSWRULESREG.pdf
Herkimer County,https://www.herkimercountyny.gov/; https://www.herkimercountyny.gov/departments/sewer-district
Jefferson County,https://www.jeffersoncountyny.gov/; https://www.jeffersoncountyny.gov/departments/RecyclingWasteManagement
Kings County,https://www.brooklynbp.nyc.gov/; https://www.nyc.gov/site/dsny/collection/residents/recycling.page
Lewis County,https://lewiscountyny.gov/; https://lewiscountyny.gov/departments/solid-waste
Livingston County,https://www.livingstoncountyny.gov/; https://www.recyclelivingston.org; https://derek-crandall-crnj.squarespace.com/accepted-items
Madison County,https://www.madisoncounty.ny.gov/; https://www.madisoncounty.ny.gov/3013/Solid-Waste
Monroe County,https://www.monroecounty.gov/; https://www.monroecounty.gov/ecopark; https://www.monroecounty.gov/ecopark-search
Montgomery County,https://www.co.montgomery.ny.us/; https://www.co.montgomery.ny.us/web/sites/departments/solidwaste/default.asp; https://www.co.montgomery.ny.us/web/sites/departments/solidwaste/acceptableitems.asp; https://www.co.montgomery.ny.us/web/sites/departments/solidwaste/singlestreamrecycling.asp
Nassau County,https://www.nassaucountyny.gov/
New York County,https://www.manhattanbp.nyc.gov/; https://www.nyc.gov/site/dsny/collection/residents/recycling.page
Niagara County,https://www.niagaracounty.gov/; https://www.niagaracounty.gov/departments/m-r/refuse_disposal_district.php
Oneida County,https://oneidacountyny.gov/; https://www.ohswa.org/
Onondaga County,http://ongov.net/departments/; https://ocrra.org/
Ontario County,https://ontariocountyny.gov/; https://ontariocountyrecycles.org/
Orange County,https://www.orangecountygov.com/; https://www.orangecountygov.com/434/Recycling
Orleans County,https://www.orleanscountyny.gov/; https://www.orleanscountyny.gov/community/orleans_county_refuse___recycling.php
Oswego County,https://www.oswegocountyny.gov/; https://www.oswegocountyny.gov/departments/infrastructure_facilities_and_technology/solid_waste/new_page.php
Otsego County,https://www.otsegocounty.com/; https://www.otsegocountyny.gov/departments/s-y/solid_waste/muncipal_drop_off_centers.php; https://www.otsegocountyny.gov/departments/solid_waste/recycling_information.php; https://www.otsegocountyny.gov/departments/solid_waste/index.php
Putnam County,https://www.putnamcountyny.gov/; https://www.putnamcountyny.gov/health/recycle/
Queens County,https://www.queensbp.nyc.gov/; https://www.nyc.gov/site/dsny/what-we-do/programs/special-waste-drop-off.page
Rensselaer County,https://www.rensco.com/; https://www.ercswma.org/
Richmond County,https://www.statenislandusa.com/
Rockland County,https://www.rocklandcountyny.gov/; https://www.rocklandgreen.com/facilities/; https://www.rocklandcountyny.gov/departments/health/environmental-health/waste-management
Saratoga County,https://www.saratogacountyny.gov/; https://www.townofmaltany.gov/360/Recycling-in-Saratoga-County; https://www.saratoga.com/green/saratoga-recycling-centers/
Schenectady County,https://schenectadycountyny.gov/; https://www.cityofschenectady.gov/222/Garbage-Recycling
Schoharie County,https://www4.schohariecounty-ny.gov/; https://www.schohariecounty-ny.gov/departments/solid_waste___recycling/new_page.php; https://www.schohariecounty-ny.gov/departments/solid_waste___recycling/index.php
Schuyler County,https://www.schuylercounty.us/; https://www.schuylercounty.us/528/Recycling-Solid-Waste; https://www.schuylercounty.us/1174/Waste-Management
Seneca County,https://www.senecacountyny.gov/; https://www.senecacountyny.gov/gov/admin/recycling/; https://senecacountycce.org/recycling
St. Lawrence County,https://stlawco.gov/; https://www.stlawco.gov/Departments/SolidWaste/Recycling; https://www.stlawco.gov/Departments/SolidWaste
Steuben County,https://www.steubencountyny.gov/; https://www.steubencountyny.gov/330/Recycling; https://www.steubencountyny.gov/323/Solid-Waste-Recycling
Suffolk County,https://www.suffolkcountyny.gov/; https://www.suffolkcountyny.gov/Departments/Health-Services/Dump-Site-Information
Sullivan County,https://www.sullivanny.gov/; https://www.sullivanny.gov/Departments/SolidWasteRecycling
Tioga County,https://tiogacountyny.com/; https://tiogacountyny.com/programs-agencies/sustainability-recycling/; https://tiogacountyny.com/recycling-and-disposal-lookup-guide/
Tompkins County,https://tompkinscountyny.gov/; https://www.tompkinscountyny.gov/All-Departments/Recycling-Materials-Management
Ulster County,https://ulstercountyny.gov/; https://ucrra.org/; https://ucrra.org/waste-recycling/
Warren County,https://www.warrencountyny.gov/; https://www.warrencountyny.gov/DPW/SolidWaste
Washington County,https://www.washingtoncountyny.gov/; https://www.washingtoncountyny.gov/281/Public-Works
Wayne County,https://www.waynecountyny.gov/; https://www.waynecountyny.gov/699/Waste-Reduction-Resources
Westchester County,https://www.westchestergov.com/; https://environment.westchestergov.com/facilities/h-mrf
Wyoming County,https://www.wyomingcountyny.gov/; https://www.wyomingcountyny.gov/DocumentCenter/View/7682/Waste-Management-Curb-Side-Collection-Guidelines; https://www.wm.com/us/en/location/ny/wyoming-county/trash-pickup-wyoming-county-ny
Yates County,https://www.yatescountyny.gov/; https://www.yatescountyny.gov/264/Recycling; https://townofyates.org/refuse-recycling.php